Title,Body,Labels,Priority
"C#-Projekt erstellen","Neues C#-Konsolenprojekt für OCR_Tester erstellen.

## Akzeptanzkriterien
- [ ] .NET-Projekt erstellt
- [ ] Konsolenanwendung startet erfolgreich
- [ ] Solution und Projektstruktur angelegt
- [ ] .gitignore vorhanden
- [ ] README.md angelegt","setup","high"
"Projektstruktur implementieren","Die geplante Ordner- und Architekturstruktur im Projekt anlegen.

## Akzeptanzkriterien
- [ ] Application vorhanden
- [ ] Domain vorhanden
- [ ] OCR vorhanden
- [ ] Evaluation vorhanden
- [ ] Input vorhanden
- [ ] Output vorhanden
- [ ] Infrastructure vorhanden
- [ ] ConsoleUI vorhanden
- [ ] Tests eingerichtet","architecture,setup","high"
"NuGet-Pakete einrichten","Alle benötigten Abhängigkeiten für OCR, Konfiguration, Logging und Tests einrichten.

## Akzeptanzkriterien
- [ ] Tesseract eingebunden
- [ ] Configuration eingerichtet
- [ ] Logging eingerichtet
- [ ] Testframework eingerichtet
- [ ] Abhängigkeiten dokumentiert","setup,dependencies","high"
"Hauptmenü implementieren","Konsolenmenü mit den Optionen „Vergleich starten“ und „Beenden“ erstellen.

## Akzeptanzkriterien
- [ ] Menü wird beim Programmstart angezeigt
- [ ] 1 startet einen Vergleich
- [ ] 2 beendet das Programm
- [ ] Ungültige Eingaben werden abgefangen
- [ ] Nach einem Vergleich wird zum Hauptmenü zurückgekehrt","console-ui","high"
"Eingabe des Testordners implementieren","Der Benutzer soll den Pfad zu einem Testdatensatz eingeben können.

## Akzeptanzkriterien
- [ ] Ordnerpfad wird abgefragt
- [ ] Existenz des Ordners wird geprüft
- [ ] Ungültige Pfade werden behandelt
- [ ] Verständliche Fehlermeldungen werden ausgegeben","console-ui,input","high"
"BMP-Bilder einlesen","Alle BMP-Bilder aus dem angegebenen Testordner erkennen und einlesen.

## Akzeptanzkriterien
- [ ] .bmp-Dateien werden erkannt
- [ ] Nicht unterstützte Dateien werden ignoriert
- [ ] Anzahl der gefundenen Bilder wird angezeigt
- [ ] Keine Bilder werden sauber behandelt","input","high"
"Ground-Truth-Format festlegen","Festlegen, ob die Ground Truth als JSON oder CSV gespeichert wird.

## Akzeptanzkriterien
- [ ] Format ausgewählt
- [ ] Struktur dokumentiert
- [ ] Beispiel-Datei erstellt
- [ ] Entscheidung im README dokumentiert

**Empfehlung:** JSON","decision,ground-truth","high"
"Ground Truth aus JSON laden","Reader für die Ground-Truth-Datei implementieren.

## Akzeptanzkriterien
- [ ] JSON-Datei wird eingelesen
- [ ] Bildname wird dem Ground-Truth-Text zugeordnet
- [ ] Fehlerhafte JSON-Dateien werden erkannt
- [ ] Fehlende Ground Truth wird behandelt","ground-truth,input","high"
"IOcrEngine definieren","Gemeinsames Interface für alle OCR-Modelle definieren.

## Akzeptanzkriterien
- [ ] IOcrEngine vorhanden
- [ ] Modellname kann geliefert werden
- [ ] Bildverarbeitung ist asynchron möglich
- [ ] OcrResult wird als gemeinsames Ergebnisformat verwendet","architecture,ocr","high"
"Tesseract integrieren","Tesseract als lokales OCR-Modell integrieren.

## Akzeptanzkriterien
- [ ] Tesseract-Paket eingebunden
- [ ] Tessdata eingerichtet
- [ ] Sprache konfigurierbar
- [ ] BMP-Bild kann verarbeitet werden
- [ ] OCR-Text wird zurückgegeben","ocr,tesseract","high"
